problems,purpose
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Spokojne reakcje w momentach stresujących, w trakcie płaczu lub krzyku dzieci. "
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Przebod\u017acowanie"": 4, ""Stres"": 4}","Chcę, aby moja pierwsza reakcja była spokojniejsza."
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 4, ""Wybuchy z\u0142o\u015bci"": 5}","Być spokojniejsza, cierpliwsza dla dzieci. Nie krzyczeć na nie. Być wspierająca dla dzieci podczas momentów ich złości. Wspierać je w emocjach. "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Nie będę krzyczeć i zaciskać zębów ani obrażać dzieci
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 4, ""Brak cierpliwo\u015bci"": 3, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3}","Brak krzyku w domu, spokojne rozwiązywanie problemów, szacunek do wszystkich członków rodziny."
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 2}",Spokój i opanowanie
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Po\u015bpiech"": 2}","Spokój, więcej cierpliwości do bliskich, mniej denerwowania się i krzyku"
"{""Impulsywno\u015b\u0107"": 1, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Stres"": 5, ""Poczucie winy"": 2}",Byc spokojna
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3}",Chce panować nad swoimi emocjami
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Impulsywno\u015b\u0107"": 3, ""Po\u015bpiech"": 4, ""Stres"": 4}",Chciałabym umieć zatrzymać swój impuls wybuchu zlosci i krzyku. Być mniej sfrustrowana macierzyństwem. Być bardziej cierpliwa i mniej autorytarna.
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Po\u015bpiech"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Opanowanie i spokój
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}",Wyciszenie
"{""Wybuchy z\u0142o\u015bci"": 5, ""Stres"": 4, ""Po\u015bpiech"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 5, ""Frustracja"": 4}","Podchodzić bardziej na luzie do niektórych spraw, nie przejmować sie wszystkim
Nie krzyczeć - nauczyć się mniej denerwować "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Być cierpliwsza, nie wybuchać, nie podnosić glosu"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}","Spokojne reagowanie na trudniejsze zachowania dzieci. 
Spokojne ogarnianie porannego wychodzenia z domu bez krzyku z mojej strony.
Lepszy sen bez koszmarów."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",nie krzyczeć na dziecko
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 2}","Chcę poprawić wszystkie wymienione na poprzednim kafelku rzeczy, chcę zbudować bezpieczną więź przywiązania z moimi Dziećmi, chcę być możliwie najlepszą i uważną mamą dla nich. Chcę wprowadzić więcej harmonii do naszego życia."
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 1, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 2, ""Stres"": 2, ""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 3}","Mniej przeklinać, nie krzyczeć na dzieci"
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Impulsywno\u015b\u0107"": 3}",Chcę mieć więcej cierpliwości i nie reagować od razu podnoszeniem głosu.
"{""Stres"": 5, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 5, ""Podnoszenie g\u0142osu / krzyk"": 1, ""Poczucie winy"": 2, ""Frustracja"": 2}","Spokojne i wspierające podejście w sytuacjach wybuchów złości i agresji dziecka. Szybkie dostosowanie znanych mi metod do zaistniałej trudnej sytuacji i odnalezienie tych, które ""teraz"" będą skuteczne w sensie pomogą w szybszym wyciszeniu i wyregulowaniu emocji dziecka zanim dojdzie do wybuchu wulkanu czy histerii i krzyków/wisków dziecka"
"{""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Problemy ze snem"": 4, ""Wybuchy z\u0142o\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Stres"": 4, ""Poczucie winy"": 3}",Chcę być bardziej rozumiejąca i wysłuchująca a mniej pouczająca.
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Przebod\u017acowanie"": 3, ""Frustracja"": 3}","Przestać wybuchać złością i krzyczeć 
Tłumaczyć spokojnie
Być cierpliwym ale stanowczym 
Nie dać się wyprowadzać z równowagi "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 1, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}","Być cierpliwa, wyrozumiała, empatyczną, spokojna, zrelaksowana, opanowana, skupiona, wdzieczna"
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Kiedy dzieci płaczą i krzyczą wybucham. Wybuch złości odpala się w momencie, nie umiem tego zatrzymać. Dzieje się to kiedy od rana dzieci płaczą, mam nadwrażliwość na dzwięki"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}",spokoj i cierpliwość
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Chcę być spokojna
"{""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 4, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 3, ""Stres"": 2}",Być bardziej cierpliwą
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3}","Spokój i opanowania, mniej złości "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Chce przestać krzyczeć na Franka i Marysię. Chce przestać szarpać nimi. Chce zacząć cierpliwie i ze spokojem podchodzić do trudnych momentów w naszym życiu. Chce zacząć więcej się śmiać i przytulać z dziećmi. Chce krzyk zamienić na dobre łagodne słowa. Moim celem jest zlagodnienie w kontakcie z Frankiem i Marią.
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Chce reagować bez wybuchów złości, frustracji, adekwatnie do sytuacji."
"{""Przebod\u017acowanie"": 3, ""Poczucie winy"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3}",Nie chce reagować złością
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 4}","Chce cierpliwie podchodzić do trudnych momentów z dziećmi. Chce przestać szarpać Franka oraz krzyczeć na niego. Chce łagodnie tłumaczyć i wyznaczać granicę swoim dzieciom. Moim celem jest stać się ciepłą, troskliwą, spokojną mamą "
"{""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 2, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}",Spokojnincierpliwosc
"{""Impulsywno\u015b\u0107"": 3}",Test
"{""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Chcę znowu cieszyć się swoją rodziną
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Chciałabym być bardziej cierpliwa i wyrozumiała względem swojego dziecka. Mniej się unosić, przestać krzyczeć i rozwiązywać problemy w spokojny sposób. "
"{""Wybuchy z\u0142o\u015bci"": 3}",Panowanie nad złością
"{""Stres"": 5, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 5, ""Podnoszenie g\u0142osu / krzyk"": 1, ""Poczucie winy"": 2, ""Frustracja"": 2}","Spokojne i wspierające podejście w sytuacjach wybuchów złości i agresji dziecka. Szybkie dostosowanie znanych mi metod do zaistniałej trudnej sytuacji i odnalezienie tych, które ""teraz"" będą skuteczne w sensie pomogą w szybszym wyciszeniu i wyregulowaniu emocji dziecka zanim dojdzie do wybuchu wulkanu czy histerii i krzyków/wisków dziecka"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 3, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5}","Nauczyć się empatii, cierpliwości, przestać krzyczeć "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Chce być spokojna. Chce przestać szarpać Franka i krzyczeć na niego i Marysię. Chce przestać być agresywna w stosunku do dzieci.
"{""Wybuchy z\u0142o\u015bci"": 5, ""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 5, ""Przebod\u017acowanie"": 5}",Wybuchy złości
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 5, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Więcej spokoju
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 4, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Chcę dać moim dzieciom szczęśliwą przyszłość
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 3}",Więcej cierpliwości
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4, ""Po\u015bpiech"": 3}",Chcę cieszyć się dniem z moimi dziećmi i żeby one też mogły że mną.
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 1, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 5}","Chcę być bardziej cierpliwa i wspierająca dziecko w chwilach jego emocjonalnych uniesień, chce uczyć dziecko spokoju."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Chcę przypomnieć sobie jak być szczęśliwą mamą i cieszyć się swoimi dziećmi i ze swoimi dziećmi
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 4}","Chce cierpliwie podchodzić do trudnych momentów z dziećmi. Chce przestać szarpać Franka oraz krzyczeć na niego. Chce łagodnie tłumaczyć i wyznaczać granicę swoim dzieciom. Moim celem jest stać się ciepłą, troskliwą, spokojną mamą "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 4, ""Stres"": 4}",Chce zmienić swoje postępowanie wobec dzieci. Czyli mniej krzyczeć więcej przytulać i się śmiać. Chce przestać być agresywna
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5, ""Stres"": 3, ""Problemy ze snem"": 3, ""Frustracja"": 5, ""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5, ""Po\u015bpiech"": 3, ""Przebod\u017acowanie"": 5}",Być oazą spokoju
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 5}","Chce lepiej panować nad reakcjami jakie wywołują moje emocje
Chce pomóc dzieciom nauczyć się kontrolować ich reakcje "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}","Chce przestać krzyczeć na dzieci, chce przestać szarpać Franka. Moim celem jest nauczenie się spokojnego reagowania w trudnych dla mnie sytuacjach. Chce nauczyć się zatrzymywać swoją złość, swój wybuch emocji. Chce cierpliwie i spokojnie zajmować się swoimi dziećmi. Moim celem jest nauczenie się jak regulować swoje emocje, jak radzić sobie ze złością "
"{""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 4, ""Wybuchy z\u0142o\u015bci"": 3}","Opanowanie złości, wsparcie dzieci"
"{""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Poczucie winy"": 2}",Stworzenie bezpiecznego stylu przywiązania
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 3, ""Problemy ze snem"": 2}","Panowanie nad emocjami, spokój umysłu i serca i duszy, opanowanie, cierpliwość "
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 5, ""Przebod\u017acowanie"": 4, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 2}",Spokój. Siła do zmiany pracy. Bycie 100% mamą tu I teraz dla córki i naszych relacji na całe życie.
"{""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 4, ""Przebod\u017acowanie"": 4}","Podejście ze spokojem, empatią,  bez krzyku"
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 4}","Czuć większy spokój, lepiej radzić sobie z nerwami "
"{""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Przebod\u017acowanie"": 2, ""Stres"": 3}",Być bardziej cierpliwa.
"{""Podnoszenie g\u0142osu / krzyk"": 2, ""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 2}",Więcej cierpliwość i zrozumienia
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 2, ""Wybuchy z\u0142o\u015bci"": 5}",Przestać krzyczeć na dziecko
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Stres"": 4, ""Po\u015bpiech"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Być spokojniejsza
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Spokój i bezpieczną realcje z dziećmi
"{""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5}",Byc cierpliwa mama
"{""Poczucie winy"": 3, ""Stres"": 2}",Wiecej ciepliwosci brak wybichow
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Impulsywno\u015b\u0107"": 5, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 5}",Chce przesyać krzyczeć na dziecko i być spokojnieksza na codzień
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 3, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Przebod\u017acowanie"": 4, ""Wybuchy z\u0142o\u015bci"": 3}","Spokój, opanowanie, brak wyrzutów sumienia, cierpliwość,  zamiana chcę a nie muszę, brak krzyku"
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Problemy ze snem"": 2, ""Poczucie winy"": 3}",Zatrzymać się przed wybuchem złości
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",spokojna relacja z dziećmi. świetne pomysły na zabawę wspólna. i radość że spędzanego wspólnie czasu.
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 2, ""Wybuchy z\u0142o\u015bci"": 5}",Spokój wewnętrzny radość
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 4, ""Problemy ze snem"": 3, ""Stres"": 3, ""Przebod\u017acowanie"": 3}",Nie rozumiem pytania
"{""Brak cierpliwo\u015bci"": 4}",Cierpliwa
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Wybuchy z\u0142o\u015bci"": 4, ""Impulsywno\u015b\u0107"": 5}",Pozostawać opanowaną w codziennych interakcjach z dziećmi. Nie dawać się wyprowadzić z równowagi prowokacjami syna.
