problems,purpose
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Niepok\u00f3j"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5}",Chciałabym być spokojna i zrelaksowana jak wagon buddyjskich mnichów. Kocham swoje dzieci i nie chce żeby widziały moją ciągłą frustrację.
"{""Brak cierpliwo\u015bci"": 2, ""Stres"": 2, ""Poczucie winy"": 2, ""Frustracja"": 2}",Chcę poprawić zaznaczone treści
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Stres"": 5, ""Frustracja"": 3, ""Przebod\u017acowanie"": 2, ""Niepok\u00f3j"": 3}",wyciszenie dystans do spraw spokoj
"{""Zm\u0119czenie"": 4, ""Niepok\u00f3j"": 2, ""Przebod\u017acowanie"": 3, ""Stres"": 4, ""Poczucie winy"": 4, ""Frustracja"": 4}",Nie rozumiem zdania😅
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Niepok\u00f3j"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5}",Nie będę krzyczeć na dzieci i zaciskać zębów ze złości. Nie będę przeklinać. Będę doceniać to co mam.
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 1, ""Przebod\u017acowanie"": 3, ""Stres"": 5, ""Poczucie winy"": 3, ""Po\u015bpiech"": 4}",W
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Niepok\u00f3j"": 3, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 5}","Być lepszą mamą. 
Umieć zawsze praktykować pauzę.
Mniej krzyczeć na dziecko.
Zwiększyć swój autorytet."
"{""Zm\u0119czenie"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Niepok\u00f3j"": 4, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 3}",Więcej spokoju i zaangażowania
"{""Frustracja"": 2, ""Po\u015bpiech"": 3}",Nadal
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 4}",Relaks
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Po\u015bpiech"": 5, ""Stres"": 4}",Łagodność i spokój
"{""Frustracja"": 3, ""Problemy ze snem"": 3}",Mariusz jest super
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Poczucie winy"": 5, ""Stres"": 4, ""Zm\u0119czenie"": 4}","Chcę mieć więcej cierpliwości do dziecka, przestać krzyczeć."
"{""Brak cierpliwo\u015bci"": 5, ""Niepok\u00f3j"": 4, ""Przebod\u017acowanie"": 3, ""Stres"": 5, ""Po\u015bpiech"": 2, ""Frustracja"": 4, ""Zm\u0119czenie"": 3}",Spokojniejsze macierzynstwo
"{""Zm\u0119czenie"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 5}",Spokoj
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 2, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 3, ""Niepok\u00f3j"": 3, ""Problemy ze snem"": 3, ""Poczucie winy"": 3, ""Frustracja"": 3}",Umieć się wyciszać w chwilach stresu
"{""Zm\u0119czenie"": 4, ""Niepok\u00f3j"": 4, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 1}",Osiagniecie spokoju bez wzgledu na sytuacje
"{""Niepok\u00f3j"": 4, ""Stres"": 4, ""Po\u015bpiech"": 3, ""Frustracja"": 4, ""Zm\u0119czenie"": 5, ""Poczucie winy"": 3}",Chce coś w swoim życiu zmienić być spokojniejszą osobą i nie dać się stresowi
"{""Brak cierpliwo\u015bci"": 3, ""Niepok\u00f3j"": 4, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Frustracja"": 4}",Potrafić zatrzymać się i wyciszyć w chwilach stresu i zabiegania by z czystym umysłem spojrzeć obiektywnie na daną sytuację/trudność z którą się borykam.
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Po\u015bpiech"": 4, ""Poczucie winy"": 3}","Więcej cierpliwości do dzieci, bliskich, trochę czasu tylko dla siebie, spokój, radość z życia "
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Niepok\u00f3j"": 5, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5}",Czuć się lepiej i mieć chęci do życia
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Niepok\u00f3j"": 4, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 4}","Być wypoczętą i wyspaną, aby ze spokojem, opanowaniem i cierpliwością rozwiązywać problemy i odnosić się do dziecka - spokojnie móc z nim zawsze rozmawiać.  Nie stresować się nadmiernie."
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Niepok\u00f3j"": 4, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 4}","Być wypoczętą i wyspaną, aby ze spokojem, opanowaniem i cierpliwością rozwiązywać problemy i odnosić się do dziecka - spokojnie móc z nim zawsze rozmawiać.  Nie stresować się nadmiernie."
"{""Zm\u0119czenie"": 3, ""Brak cierpliwo\u015bci"": 5, ""Niepok\u00f3j"": 3, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 3}","Więcej cierpliwości dla Ali, miłości dla Mateuszka i spokoju dla mnie "
"{""Brak cierpliwo\u015bci"": 4, ""Niepok\u00f3j"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Frustracja"": 3, ""Poczucie winy"": 4, ""Zm\u0119czenie"": 4, ""Problemy ze snem"": 2, ""Po\u015bpiech"": 2}","Chciałabym, pomimo trudności w wychowaniu dziecka w spektrum autyzmu, czuć radość i satysfakcję z bycia mamą, nie tylko ciężar i stres. Chciałabym, żeby moja córka miała szczęśliwą, cierpliwą mamę, a nie zmęczoną i sfrustrowaną. "
"{""Poczucie winy"": 5, ""Stres"": 5, ""Po\u015bpiech"": 4, ""Niepok\u00f3j"": 3, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5}","Większa cierpliwość, nie denerwowanie się tak szybko i o wszystko, uzyskanie wewnętrznego spokoju, przerwanie kołowrotka w głowie, chce znów cieszyć się z małych rzeczy i odczuwac pozytywne emocje, zmniejszyć poziom wypalenia rodzicielskiego"
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Niepok\u00f3j"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 4}",Czuć się lepiej i mieć więcej cierpliwości
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 5, ""Po\u015bpiech"": 3}","Chcę być spokojniejsza. Chcę potrafić opanować frustrację, złość. Chcę nabrać dystansu i się nie przejmować bo szkoda życia na stres. Rozumiem to ale moje emocje górują. Chcę je kontrolować."
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Niepok\u00f3j"": 2, ""Stres"": 3, ""Poczucie winy"": 3}","Więcej cierpliwości, spokoju, mniej wybuchów.
Spokojne reagowanie."
"{""Niepok\u00f3j"": 3, ""Stres"": 2, ""Zm\u0119czenie"": 2}",Ok
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Niepok\u00f3j"": 3, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 2, ""Stres"": 4, ""Po\u015bpiech"": 4}","Większy spokój, dbanie o swoje zasoby, cierpliwość wobec córek "
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 5}",Kochać siebie i bliskich bardziej
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 2, ""Po\u015bpiech"": 3, ""Stres"": 4}",Chciałabym mieć więcej cierpliwości i być zrównoważona oraz lepiej zarządzać czasem.
"{""Poczucie winy"": 5, ""Po\u015bpiech"": 5, ""Przebod\u017acowanie"": 4, ""Brak cierpliwo\u015bci"": 4, ""Zm\u0119czenie"": 5, ""Niepok\u00f3j"": 3, ""Problemy ze snem"": 2, ""Stres"": 5}","Nie krzyczeć , nie obrażać i nie zaciskać zębów  ze złości "
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Niepok\u00f3j"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 3}","Nie reagować w sposób raniący wobec dzieci i męża, nauczyć się strategii na radzenie sobie ze złością, mieć w sobie spokój, wiedzieć, jak dobrze reagować w trudnych sytuacjach, nauczyć się odpoczywać i dbać o swoje zasoby."
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Stres"": 3, ""Po\u015bpiech"": 4, ""Przebod\u017acowanie"": 2, ""Niepok\u00f3j"": 3}","Chce byc spokojniejsza, miec wiecej cierpliwosci i cieszyc sie macierzynstwem"
"{""Zm\u0119czenie"": 2, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Przebod\u017acowanie"": 3}",.
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 3, ""Problemy ze snem"": 4, ""Po\u015bpiech"": 4, ""Poczucie winy"": 3}","1. wewnętrzny spokój
2. poczucie pewności, sprawczości
3. witalność, siła
4. wpływ na dziecko
5. bycie wypoczętą, zregenerowaną"
"{""Zm\u0119czenie"": 5, ""Frustracja"": 4, ""Niepok\u00f3j"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5}","Chciałbym być spokojniejsza i mieć poczucie, że jestem wystarczająco dobrą mamą. "
"{""Zm\u0119czenie"": 1, ""Frustracja"": 1, ""Niepok\u00f3j"": 1, ""Brak cierpliwo\u015bci"": 1, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 1, ""Po\u015bpiech"": 1, ""Stres"": 1, ""Poczucie winy"": 5}",Spokoj
"{""Zm\u0119czenie"": 5, ""Stres"": 5, ""Poczucie winy"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3}",Więcej czasu dla siebie. Podróże i spełnianie swoich marzeń. Zauważenie partnera moich potrzeb i ich wspólne spełnianie
"{""Niepok\u00f3j"": 5}",Cgh
"{""Zm\u0119czenie"": 1, ""Brak cierpliwo\u015bci"": 1}",Test
"{""Brak cierpliwo\u015bci"": 2, ""Zm\u0119czenie"": 2}",Więcej cierpliwości
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 3}",X
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 3}",X
"{""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 3, ""Problemy ze snem"": 4, ""Stres"": 3, ""Poczucie winy"": 3}","Chciałabym czuć się pewniej w roli Mamy, wiedzieć że robię to dobrze i nie spalać się w sytuacjach kiedy nie ma takiej potrzeby."
"{""Stres"": 5, ""Poczucie winy"": 5, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 3, ""Frustracja"": 5, ""Brak cierpliwo\u015bci"": 5, ""Zm\u0119czenie"": 4, ""Po\u015bpiech"": 5, ""Niepok\u00f3j"": 3}",Przestać wybuchać złością krzyczeć na dzieci uspokoić emocje i przestać się śpieszyć zacząć Cieszyć się życiem
"{""Zm\u0119czenie"": 4, ""Frustracja"": 5, ""Niepok\u00f3j"": 5, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 5}",Spokój
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Niepok\u00f3j"": 2, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 3, ""Poczucie winy"": 4}","Być cierpliwą, nie wybuchać, nie czuć takiego napięcia, być radosną i obecną. Mieć energię do życia.
 "
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Niepok\u00f3j"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 4}",Chciałabym poczuć się kompetentną super mamą
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Niepok\u00f3j"": 3, ""Stres"": 5, ""Poczucie winy"": 4}",Chce nauczyć się nie ranić dzieci i Janusza
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3}",A
"{""Zm\u0119czenie"": 5, ""Brak cierpliwo\u015bci"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 5}",Dobre relacje z dziećmi które słuchają bez krzyku i awantur jeśli o coś proszę wyjście z trudnych sytuacji żeby nie denerwować siebie i dzieci przedewszystkim
